Last login: Sat Mar 22 05:39:27 on console
Brandons-MacBook-Pro-3:~ brandon$ cd Documents/CS149_Assignment4/HW4_src/
Brandons-MacBook-Pro-3:HW4_src brandon$ ls
Page.class	Swap.class	hw4.zip		swapOutput.txt
Page.java	Swap.java	pageOutput.txt
Brandons-MacBook-Pro-3:HW4_src brandon$ javac Page.java
Brandons-MacBook-Pro-3:HW4_src brandon$ java Page
-1 indicates empty page frame

FIFO Simulation
------------------------------------------------------------------------------------------------------------------------
---------- Run 1 ----------
Time		Frame_1		Frame_2		Frame_3		Frame_4		Hit?		Page_In		Evicted
0		7		-1		-1		-1		Fault		7		-1
1		7		2		-1		-1		Fault		2		-1
2		7		2		8		-1		Fault		8		-1
3		7		2		8		-1		Hit		8		8
4		7		2		8		5		Fault		5		-1
5		1		2		8		5		Fault		1		7
6		1		2		8		5		Hit		2		2
7		1		2		8		5		Hit		2		2
8		1		3		8		5		Fault		3		2
9		1		3		4		5		Fault		4		8
10		1		3		4		5		Hit		4		4
11		1		3		4		5		Hit		1		1
12		1		3		4		0		Fault		0		5
13		1		3		4		0		Hit		0		0
14		1		3		4		0		Hit		4		4
15		6		3		4		0		Fault		6		1
16		6		3		4		0		Hit		6		6
17		6		3		4		0		Hit		6		6
18		6		3		4		0		Hit		6		6
19		6		8		4		0		Fault		8		3
20		6		8		5		0		Fault		5		4
21		6		8		5		0		Hit		5		5
22		6		8		5		4		Fault		4		0
23		1		8		5		4		Fault		1		6
24		1		8		5		4		Hit		1		1
25		1		8		5		4		Hit		4		4
26		1		8		5		4		Hit		5		5
27		1		6		5		4		Fault		6		8
28		1		6		7		4		Fault		7		5
29		1		6		7		4		Hit		4		4
30		1		6		7		5		Fault		5		4
31		1		6		7		5		Hit		5		5
32		1		6		7		5		Hit		6		6
33		0		6		7		5		Fault		0		1
34		0		6		7		5		Hit		0		0
35		0		6		7		5		Hit		0		0
36		0		6		7		5		Hit		6		6
37		0		6		7		5		Hit		6		6
38		0		8		7		5		Fault		8		6
39		0		8		4		5		Fault		4		7
40		0		8		4		5		Hit		8		8
41		0		8		4		5		Hit		4		4
42		0		8		4		2		Fault		2		5
43		0		8		4		2		Hit		2		2
